id,name,gene-id,gene-symbol,gene-name,entrez-id,chromosome,plane-of-section,specimen-id,fold-change,target-sum,contrast-sum,num-target-samples,num-contrast-samples
890,RP_Baylor_103002,19462,Reln,reelin,19699,5,coronal,n/a,1.751,983.331,770.637,188,258
71249069,RP_050407_04_E04,21593,Thrb,thyroid hormone receptor beta,21834,14,coronal,n/a,1.724,1343.248,1069.542,188,258
72472801,RP_051101_02_F05,63140,Fibcd1,fibrinogen C domain containing 1,98970,2,coronal,n/a,1.720,344.328,274.721,188,258
75774105,RP_060530_01_B01,42091,Alg5,"asparagine-linked glycosylation 5 homolog (yeast, dolichyl-phosphate beta-glucosyltransferase)",66248,3,coronal,n/a,1.715,423.363,51.208,188,39
73929607,RP_051214_03_G10,51998,Slc35d3,"solute carrier family 35, member D3",76157,10,coronal,n/a,1.695,803.591,650.531,188,258
75042270,RP_060412_02_D12,85488,Scara3,"scavenger receptor class A, member 3",219151,14,coronal,n/a,1.691,586.433,480.994,186,258
73512200,RP_050712_04_F12,20454,Sparc,secreted acidic cysteine rich glycoprotein,20692,11,coronal,n/a,1.670,731.462,572.712,169,221
72472802,RP_051101_02_F06,89107,Slc6a11,"solute carrier family 6 (neurotransmitter transporter, GABA), member 11",243616,6,coronal,n/a,1.664,331.215,276.154,186,258
329,RP_Baylor_102722,12959,Dcn,decorin,13179,10,coronal,n/a,1.650,503.637,418.832,188,258
1059,RP_Baylor_103075,21603,Tiam1,T cell lymphoma invasion and metastasis 1,21844,16,coronal,n/a,1.628,514.465,440.583,185,258
72472787,RP_051101_02_E05,12090,Ddr1,"discoidin domain receptor family, member 1",12305,17,coronal,n/a,1.628,359.062,207.609,188,177
74882936,RP_060315_04_H08,20287,Slc2a1,"solute carrier family 2 (facilitated glucose transporter), member 1",20525,4,coronal,n/a,1.621,555.745,470.539,188,258
74581442,RP_060220_04_H03,77153,Palmd,palmdelphin,114301,3,coronal,n/a,1.606,394.918,484.406,131,258
1956,RP_Baylor_253962,72864,Pttg1ip,pituitary tumor-transforming 1 interacting protein,108705,10,coronal,n/a,1.599,608.342,580.858,169,258
75043137,RP_051212_02_F03,30258,Atp11a,"ATPase, class VI, type 11A",50770,8,coronal,n/a,1.596,592.170,517.509,185,258
1023,RP_040526_02_F08,20741,Syt2,synaptotagmin II,20980,1,coronal,n/a,1.558,3951.162,3479.975,188,258
74581451,RP_060220_04_H12,37572,Sh3rf1,SH3 domain containing ring finger 1,59009,8,coronal,n/a,1.549,542.649,499.385,181,258
1685,RP_040526_01_H04,12460,Chuk,conserved helix-loop-helix ubiquitous kinase,12675,19,coronal,n/a,1.542,377.174,306.161,175,219
2689,RP_040420_01_D04,21694,Tnfrsf1a,"tumor necrosis factor receptor superfamily, member 1a",21937,6,coronal,n/a,1.540,460.083,410.069,188,258
346,RP_Baylor_103179,30269,Dkk3,dickkopf homolog 3 (Xenopus laevis),50781,7,coronal,n/a,1.539,2108.499,1880.238,188,258
2747,RP_Baylor_254006,54753,Ltn1,listerin E3 ubiquitin protein ligase 1,78913,16,coronal,n/a,1.529,891.091,988.895,152,258
77278951,RP_070116_01_A01,14636,Gsta4,"glutathione S-transferase, alpha 4",14860,9,coronal,n/a,1.523,297.079,267.607,188,258
79591573,RP_071204_04_C03,19435,Rcn1,reticulocalbin 1,19672,2,coronal,n/a,1.523,287.964,171.974,188,171
1934,RP_Baylor_253992,84492,Wbscr17,Williams-Beuren syndrome chromosome region 17 homolog (human),212996,5,coronal,n/a,1.517,1348.929,1233.257,186,258
74957898,RP_060315_05_A04,42966,Ubap1,ubiquitin-associated protein 1,67123,4,coronal,n/a,1.511,290.326,263.708,188,258
75551460,RP_060523_01_A02,75055,Chrna2,"cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal)",110902,14,coronal,n/a,1.506,347.806,215.814,184,172
73636095,RP_050926_01_G04,85498,Pcdh17,protocadherin 17,219228,14,coronal,n/a,1.501,734.204,746.815,169,258
76115733,RP_060620_02_B12,16768,Ltbp3,latent transforming growth factor beta binding protein 3,16998,19,coronal,n/a,1.498,522.291,591.669,152,258
72080165,RP_051017_03_C12,84934,Appl2,"adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2",216190,10,coronal,n/a,1.487,1306.114,1205.731,188,258
79912552,RP_080109_01_B07,35704,Stub1,STIP1 homology and U-Box containing protein 1,56424,17,coronal,n/a,1.484,1145.775,984.409,178,227
655497,RP_040922_01_B10,17878,Nnat,neuronatin,18111,2,coronal,n/a,1.480,1744.740,1354.868,188,216
74957909,RP_060315_05_A06,106946,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,320011,1,coronal,n/a,1.471,276.699,258.194,188,258
73512352,RP_050719_02_A05,11463,Aldoc,"aldolase C, fructose-bisphosphate",11676,11,coronal,n/a,1.466,465.380,435.643,188,258
74988562,RP_060315_05_F01,21112,Taldo1,transaldolase 1,21351,7,coronal,n/a,1.459,715.268,672.988,188,258
2307,RP_Baylor_103153,26306,Hunk,hormonally upregulated Neu-associated kinase,26559,16,coronal,n/a,1.458,351.357,330.648,188,258
2119,RP_040407_02_E07,12691,Crat,carnitine acetyltransferase,12908,2,coronal,n/a,1.447,660.671,626.400,188,258
2143,RP_040407_02_D03,82821,Eif4a3,eukaryotic translation initiation factor 4A3,192170,11,coronal,n/a,1.447,2246.379,2130.571,188,258
74743255,RP_060220_04_E01,17676,Myo10,myosin X,17909,15,coronal,n/a,1.442,244.034,170.283,169,170
73521826,RP_051101_03_B10,93222,Trp53i11,transformation related protein 53 inducible protein 11,277414,2,coronal,n/a,1.437,759.749,741.156,184,258
74988601,RP_060315_05_F05,87826,Mpv17l2,MPV17 mitochondrial membrane protein-like 2,234384,8,coronal,n/a,1.435,273.764,264.614,186,258
121091,RP_040428_01_C11,19028,Ptprcap,"protein tyrosine phosphatase, receptor type, C polypeptide-associated protein",19265,19,coronal,n/a,1.434,324.041,188.016,155,129
112204566,RP_110421_01_C08,12361,Cdkn1b,cyclin-dependent kinase inhibitor 1B,12576,6,coronal,n/a,1.426,268.956,236.666,169,212
324214,RP_040617_01_E09,87454,Ccdc136,coiled-coil domain containing 136,232664,6,coronal,n/a,1.423,1879.971,1201.640,188,171
261,RP_Baylor_102689,12457,Chrm4,"cholinergic receptor, muscarinic 4",12672,2,coronal,n/a,1.422,2085.860,2012.712,188,258
2363,RP_Baylor_103308,60388,Aff4,"AF4/FMR2 family, member 4",93736,11,coronal,n/a,1.421,533.023,514.676,188,258
121099,RP_040507_01_A05,18420,Pgf,placental growth factor,18654,12,coronal,n/a,1.420,489.677,486.009,183,258
75749771,RP_060518_01_B01,32917,Cd164,CD164 antigen,53599,10,coronal,n/a,1.419,444.499,391.623,188,235
74641306,RP_060220_05_H02,60335,Glce,glucuronyl C5-epimerase,93683,9,coronal,n/a,1.416,417.254,340.688,186,215
292,RP_Baylor_102704,12701,Crh,corticotropin releasing hormone,12918,3,coronal,n/a,1.413,273.635,265.784,188,258
70634395,RP_050725_01_F08,30210,Dkkl1,dickkopf-like 1,50722,7,coronal,n/a,1.412,1742.741,1693.616,188,258
72080084,RP_051017_03_C03,35708,Mtch2,mitochondrial carrier homolog 2 (C. elegans),56428,2,coronal,n/a,1.412,965.283,943.351,187,258
71249750,RP_050419_02_B05,107093,Zmat4,"zinc finger, matrin type 4",320158,8,coronal,n/a,1.410,452.206,439.974,188,258
1858,RP_040507_02_E06,42886,Syap1,synapse associated protein 1,67043,X,coronal,n/a,1.405,724.043,589.486,188,215
75145999,RP_060220_02_B05,86234,Lims2,LIM and senescent cell antigen like domains 2,225341,18,coronal,n/a,1.397,583.849,530.625,156,198
35,RP_Baylor_103286,48768,Hepacam,hepatocyte cell adhesion molecule,72927,9,coronal,n/a,1.392,402.644,396.918,188,258
255,RP_Baylor_103401,89178,Chd2,chromodomain helicase DNA binding protein 2,244059,7,coronal,n/a,1.371,503.311,503.679,188,258
73788010,RP_051213_01_A05,78444,Necab2,N-terminal EF-hand calcium binding protein 2,117148,8,coronal,n/a,1.370,359.581,360.125,188,258
29,RP_Baylor_103329,72261,Prkag2,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",108099,5,coronal,n/a,1.369,1154.028,1157.142,188,258
76135740,RP_060530_02_G05,65148,Nfxl1,"nuclear transcription factor, X-box binding-like 1",100978,5,coronal,n/a,1.368,1139.709,1036.616,188,234
73512366,RP_050818_01_E10,12334,Arhgap31,Rho GTPase activating protein 31,12549,16,coronal,n/a,1.365,289.004,290.465,188,258
79568051,RP_071204_02_C04,29546,Ndrg2,N-myc downstream regulated gene 2,29811,14,coronal,n/a,1.355,2027.032,1848.582,119,147
71016585,RP_050725_03_A04,49952,Rbm19,RNA binding motif protein 19,74111,5,coronal,n/a,1.353,256.037,262.569,186,258
324210,RP_040617_01_E05,12235,Ccng1,cyclin G1,12450,11,coronal,n/a,1.347,708.356,496.757,181,171
74357546,RP_051019_03_D11,75047,Slc8a3,"solute carrier family 8 (sodium/calcium exchanger), member 3",110893,12,coronal,n/a,1.346,526.863,537.037,188,258
71020445,RP_050419_01_A11,43635,Rgs8,regulator of G-protein signaling 8,67792,1,coronal,n/a,1.343,508.449,519.499,188,258
70436729,RP_050310_01_B10,52098,Slc38a3,"solute carrier family 38, member 3",76257,9,coronal,n/a,1.338,268.312,275.239,188,258
1910,RP_040507_02_F10,47626,Pdgfd,"platelet-derived growth factor, D polypeptide",71785,9,coronal,n/a,1.332,445.448,380.644,188,214
79591675,RP_071204_04_G08,12584,Cnr1,cannabinoid receptor 1 (brain),12801,4,coronal,n/a,1.329,1884.839,1946.088,188,258
2109,RP_Baylor_102694,12577,Cnih2,cornichon homolog 2 (Drosophila),12794,19,coronal,n/a,1.324,412.391,427.550,188,258
73592542,RP_051017_01_F07,92462,Zbtb24,zinc finger and BTB domain containing 24,268294,10,coronal,n/a,1.323,731.642,759.207,188,258
67810541,RP_040922_01_F10,16892,Mxd4,Max dimerization protein 4,17122,5,coronal,n/a,1.322,2334.522,2423.264,188,258
2373,RP_040420_01_A03,44035,Leprotl1,leptin receptor overlapping transcript-like 1,68192,8,coronal,n/a,1.318,1915.888,1995.226,188,258
74882938,RP_060315_04_H10,89377,Slitrk4,"SLIT and NTRK-like family, member 4",245446,X,coronal,n/a,1.318,774.867,820.331,157,219
248329,RP_040507_03_B06,45631,Med30,mediator complex subunit 30,69790,15,coronal,n/a,1.317,456.679,526.835,156,237
1035,RP_Baylor_103198,33816,Syt7,synaptotagmin VII,54525,19,coronal,n/a,1.307,1195.575,1255.373,188,258
79556710,RP_071204_01_D10,20449,Sp3,trans-acting transcription factor 3,20687,2,coronal,n/a,1.306,500.596,436.397,188,214
73592530,RP_051017_01_E06,15784,Igfbp5,insulin-like growth factor binding protein 5,16011,1,coronal,n/a,1.302,1175.510,1238.759,188,258
74724786,RP_060220_04_B11,92793,Plch2,"phospholipase C, eta 2",269615,4,coronal,n/a,1.301,1419.009,1497.079,188,258
1177,RP_Baylor_253894,12617,Col6a2,"collagen, type VI, alpha 2",12834,10,coronal,n/a,1.294,1890.348,2004.204,188,258
2247,RP_Baylor_102801,14176,Gabrb1,"gamma-aminobutyric acid (GABA) A receptor, subunit beta 1",14400,5,coronal,n/a,1.294,410.117,434.889,188,258
1591,RP_Baylor_103410,106137,1200016E24Rik,RIKEN cDNA 1200016E24 gene,319202,Un,coronal,n/a,1.290,260.925,229.174,188,213
73925721,RP_051214_03_B08,60832,Adarb2,"adenosine deaminase, RNA-specific, B2",94191,13,coronal,n/a,1.289,305.796,299.087,169,213
2305,RP_040324_01_B03,15251,Hs3st1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1,15476,5,coronal,n/a,1.287,719.088,766.633,188,258
130911,RP_040507_01_C01,16307,Kcnn4,"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4",16534,7,coronal,n/a,1.274,304.636,328.025,188,258
72472773,RP_051101_02_D05,27272,D0H4S114,"DNA segment, human D4S114",27528,18,coronal,n/a,1.273,963.289,1038.244,188,258
79556666,RP_071204_01_B10,12343,Cdh2,cadherin 2,12558,18,coronal,n/a,1.273,1482.100,1597.691,188,258
746,RP_Baylor_253946,17979,Ntrk2,"neurotrophic tyrosine kinase, receptor, type 2",18212,13,coronal,n/a,1.270,1611.684,1741.764,188,258
75749415,RP_060518_01_B11,11670,Arsa,arylsulfatase A,11883,15,coronal,n/a,1.267,279.464,254.645,188,217
74750032,RP_060220_05_F01,84750,Sema6d,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D",214968,2,coronal,n/a,1.255,355.703,357.089,169,213
106,RP_Baylor_253875,11607,App,amyloid beta (A4) precursor protein,11820,16,coronal,n/a,1.254,5336.749,7220.845,152,258
73788443,RP_051213_01_B02,20454,Sparc,secreted acidic cysteine rich glycoprotein,20692,11,coronal,n/a,1.254,1121.135,1226.539,188,258
2527,RP_040407_02_E02,86110,Traf7,TNF receptor-associated factor 7,224619,17,coronal,n/a,1.254,1391.956,1523.827,188,258
76135819,RP_060711_05_D05,11217,Aco1,aconitase 1,11428,4,coronal,n/a,1.246,494.031,499.808,169,213
79490066,RP_070205_01_C03,12339,Cdh13,cadherin 13,12554,8,coronal,n/a,1.244,937.737,1034.510,188,258
61210,RP_040407_01_C01,48515,Adipor1,adiponectin receptor 1,72674,1,coronal,n/a,1.244,504.122,853.521,104,219
154,RP_Baylor_102646,11818,Bcan,brevican,12032,3,coronal,n/a,1.241,810.595,896.061,188,258
94,RP_Baylor_253873,11524,Anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",11737,9,coronal,n/a,1.240,385.358,426.607,188,258
71670738,RP_050614_03_A04,85500,Pcdh20,protocadherin 20,219257,14,coronal,n/a,1.237,322.380,361.423,186,258
74819240,RP_060315_02_C04,11456,Aldh2,"aldehyde dehydrogenase 2, mitochondrial",11669,5,coronal,n/a,1.237,440.161,488.410,188,258
74363335,RP_051005_01_G04,110689,Prune2,prune homolog 2 (Drosophila),353211,19,coronal,n/a,1.236,427.181,395.115,188,215
74724670,RP_060220_04_A11,82624,Gpr37l1,G protein-coupled receptor 37-like 1,171469,1,coronal,n/a,1.236,1134.665,1259.477,188,258
1738,RP_040526_02_G01,41048,Gpr85,G protein-coupled receptor 85,64450,6,coronal,n/a,1.233,1797.617,2001.257,188,258
196,RP_Baylor_102658,12172,Ctnnb1,"catenin (cadherin associated protein), beta 1",12387,9,coronal,n/a,1.231,1437.765,1602.562,188,258
1888,RP_Baylor_103100,22091,Vdac2,voltage-dependent anion channel 2,22334,14,coronal,n/a,1.229,1440.317,1607.817,188,258
74819233,RP_060315_02_B09,29591,Smtn,smoothelin,29856,11,coronal,n/a,1.228,456.713,510.273,188,258
2699,RP_Baylor_103269,44684,Tulp4,tubby like protein 4,68842,17,coronal,n/a,1.227,492.919,551.241,188,258
645,RP_Baylor_102891,16667,Llgl1,lethal giant larvae homolog 1 (Drosophila),16897,11,coronal,n/a,1.227,555.448,621.334,188,258
76115729,RP_060620_02_B08,87185,Hadhb,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit",231086,5,coronal,n/a,1.224,230.465,258.341,188,258
75043142,RP_060220_02_G03,13387,S1pr1,sphingosine-1-phosphate receptor 1,13609,3,coronal,n/a,1.223,948.935,1158.917,172,257
74750043,RP_060220_05_F03,87020,Zkscan16,zinc finger with KRAB and SCAN domains 16,100041581,4,coronal,n/a,1.222,567.876,648.080,185,258
75041548,RP_060412_04_F01,106834,Dock6,dedicator of cytokinesis 6,319899,9,coronal,n/a,1.222,277.051,272.622,188,226
323590,RP_040609_01_G06,36017,Mocs1,molybdenum cofactor synthesis 1,56738,17,coronal,n/a,1.221,276.407,347.710,168,258
75147762,RP_060412_03_A04,17892,Nos1,"nitric oxide synthase 1, neuronal",18125,5,coronal,n/a,1.216,336.490,379.669,188,258
74724763,RP_060220_04_B06,15676,Id3,inhibitor of DNA binding 3,15903,4,coronal,n/a,1.215,495.795,560.215,188,258
79591669,RP_071018_02_B07,14193,Gad2,glutamic acid decarboxylase 2,14417,2,coronal,n/a,1.214,1702.535,1596.596,188,214
67936212,RP_040407_01_E10,48321,Tspyl4,TSPY-like 4,72480,10,coronal,n/a,1.213,3300.354,3292.786,138,167
1133,RP_Baylor_103130,22388,Ywhaz,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide",22631,15,coronal,n/a,1.212,4306.053,4873.883,188,258
79556738,RP_071204_01_E06,19056,Pvalb,parvalbumin,19293,15,coronal,n/a,1.212,1190.739,1347.832,188,258
1792,RP_040507_02_A03,15145,Nr4a1,"nuclear receptor subfamily 4, group A, member 1",15370,15,coronal,n/a,1.209,1885.679,2139.873,188,258
74819462,RP_060315_02_F04,14961,Hdac6,histone deacetylase 6,15185,X,coronal,n/a,1.206,278.360,262.837,188,214
1974,RP_Baylor_253926,51267,Igfbpl1,insulin-like growth factor binding protein-like 1,75426,4,coronal,n/a,1.205,3590.443,4087.450,188,258
74047918,RP_051214_02_D03,14421,Glul,glutamate-ammonia ligase (glutamine synthetase),14645,1,coronal,n/a,1.204,3066.537,3197.126,188,236
290,RP_Baylor_102698,12616,Col6a1,"collagen, type VI, alpha 1",12833,10,coronal,n/a,1.202,934.944,1067.217,188,258
74511882,RP_051121_04_A03,11303,Adcyap1,adenylate cyclase activating polypeptide 1,11516,17,coronal,n/a,1.201,858.077,980.485,188,258
75041442,RP_060412_04_B04,15257,Hspa1l,heat shock protein 1-like,15482,17,coronal,n/a,1.199,314.497,250.686,181,173
741,RP_Baylor_102937,17955,Nrtn,neurturin,18188,17,coronal,n/a,1.196,78.220,1125.215,15,258
79556700,RP_071204_01_D04,43858,Trap1,TNF receptor-associated protein 1,68015,16,coronal,n/a,1.195,1012.336,1162.102,188,258
322963,RP_040609_01_F08,83982,Cep78,centrosomal protein 78,208518,19,coronal,n/a,1.193,189.748,273.646,150,258
74724764,RP_060220_04_B07,17910,Npas2,neuronal PAS domain protein 2,18143,1,coronal,n/a,1.192,451.404,448.355,179,212
2295,RP_040407_02_E03,15136,Hmga1,high mobility group AT-hook 1,15361,17,coronal,n/a,1.192,1815.279,2089.526,188,258
112194721,RP_110421_01_C02,17636,Myc,myelocytomatosis oncogene,17869,15,coronal,n/a,1.190,294.904,547.691,76,168
1092,RP_Baylor_103099,22075,Vamp2,vesicle-associated membrane protein 2,22318,11,coronal,n/a,1.189,589.746,1854.213,69,258
77371813,RP_070116_02_E01,49591,Whrn,whirlin,73750,4,coronal,n/a,1.189,686.092,930.383,134,216
74988722,RP_060315_04_A12,64553,Bsdc1,BSD domain containing 1,100383,4,coronal,n/a,1.188,465.223,537.253,188,258
73520979,RP_051017_04_F07,57913,Sytl2,synaptotagmin-like 2,83671,7,coronal,n/a,1.188,479.923,554.320,188,258
75774108,RP_060530_01_B04,41022,Polr1e,polymerase (RNA) I polypeptide E,64424,4,coronal,n/a,1.187,525.515,607.424,188,258
362,RP_Baylor_103205,34009,Rcan1,regulator of calcineurin 1,54720,16,coronal,n/a,1.186,1201.067,1389.404,188,258
73931630,RP_051214_04_A10,89231,D8Ertd82e,"DNA segment, Chr 8, ERATO Doi 82, expressed",244418,8,coronal,n/a,1.186,408.198,548.062,162,258
67870434,RP_041018_01_D03,16102,Inpp1,inositol polyphosphate-1-phosphatase,16329,1,coronal,n/a,1.185,882.033,1021.093,188,258
1740,RP_040526_01_D11,27759,Polr2m,polymerase (RNA) II (DNA directed) polypeptide M,28015,9,coronal,n/a,1.185,512.365,593.508,188,258
74988509,RP_060315_05_E06,84589,9530068E07Rik,RIKEN cDNA 9530068E07 gene,213673,11,coronal,n/a,1.183,197.959,187.140,152,170
1313,RP_Baylor_102615,108616,9130024F11Rik,RIKEN cDNA 9130024F11 gene,329160,1,coronal,n/a,1.182,779.235,904.540,188,258
934,RP_Baylor_103021,20017,Scg2,secretogranin II,20254,1,coronal,n/a,1.180,1297.620,1517.200,187,258
75774110,RP_060530_01_B06,62572,Sh3bp4,SH3-domain binding protein 4,98402,1,coronal,n/a,1.179,301.250,389.946,169,258
67936005,RP_041018_01_F01,30333,Rnf10,ring finger protein 10,50849,5,coronal,n/a,1.179,983.178,754.113,188,170
823,RP_Baylor_103227,37364,Pmaip1,phorbol-12-myristate-13-acetate-induced protein 1,58801,18,coronal,n/a,1.176,2065.028,1745.192,170,169
226,RP_Baylor_102672,12305,Cd81,CD81 antigen,12520,7,coronal,n/a,1.173,1383.582,1619.088,188,258
1715,RP_040507_02_C06,13947,Fgf15,fibroblast growth factor 15,14170,7,coronal,n/a,1.172,241.112,282.358,188,258
79556642,RP_071204_01_A05,14385,Gja1,"gap junction protein, alpha 1",14609,10,coronal,n/a,1.171,1626.081,2106.986,170,258
71249056,RP_050407_02_B12,72814,Foxp1,forkhead box P1,108655,6,coronal,n/a,1.171,1112.721,1069.151,152,171
76085748,RP_060620_02_A08,72237,Ltbp4,latent transforming growth factor beta binding protein 4,108075,7,coronal,n/a,1.170,762.184,893.971,188,258
2181,RP_Baylor_102752,13444,Eif2ak3,eukaryotic translation initiation factor 2 alpha kinase 3,13666,6,coronal,n/a,1.169,970.386,1139.255,188,258
276275,RP_040609_01_D09,86760,Csrp2bp,cysteine and glycine-rich protein 2 binding protein,228714,2,coronal,n/a,1.168,724.977,1039.989,154,258
73520994,RP_051101_02_H01,16363,Kit,kit oncogene,16590,5,coronal,n/a,1.168,255.357,275.668,188,237
70743904,RP_050610_01_A02,17797,Nfil3,"nuclear factor, interleukin 3, regulated",18030,13,coronal,n/a,1.167,567.037,666.809,188,258
71924279,RP_050609_03_E10,85485,Fam167a,"family with sequence similarity 167, member A",219148,14,coronal,n/a,1.167,723.804,851.233,188,258
356086,RP_040617_02_C02,11453,Abcd1,"ATP-binding cassette, sub-family D (ALD), member 1",11666,X,coronal,n/a,1.166,1346.271,1584.351,188,258
283,RP_Baylor_253893,12584,Cnr1,cannabinoid receptor 1 (brain),12801,4,coronal,n/a,1.164,1722.833,2030.930,188,258
308056322,RP_140710_01_A01,13414,Efna1,ephrin A1,13636,3,coronal,n/a,1.162,1205.312,1307.271,169,213
74581441,RP_060220_04_H02,88955,Palm2,paralemmin 2,242481,4,coronal,n/a,1.161,1626.964,1922.935,188,258
1834,RP_040507_02_H09,20233,Six1,sine oculis-related homeobox 1 homolog (Drosophila),20471,12,coronal,n/a,1.160,281.106,332.566,188,258
2409,RP_040526_01_B12,17531,Mtf1,metal response element binding transcription factor 1,17764,4,coronal,n/a,1.159,1607.014,1902.170,188,258
67752116,RP_040922_01_C11,22127,Vtn,vitronectin,22370,11,coronal,n/a,1.158,1217.069,1349.894,169,217
324215,RP_040617_01_E10,42725,Bzw1,basic leucine zipper and W2 domains 1,66882,1,coronal,n/a,1.157,2581.327,3060.693,188,258
71920517,RP_051017_02_G10,85086,Wscd1,WSC domain containing 1,216881,11,coronal,n/a,1.156,661.789,785.354,188,258
1882,RP_040526_02_H05,37185,Crlf2,cytokine receptor-like factor 2,57914,5,coronal,n/a,1.156,1243.881,1476.440,188,258
560,RP_Baylor_253922,43867,Hist1h2bc,"histone cluster 1, H2bc",68024,13,coronal,n/a,1.155,1571.929,1867.062,188,258
71015194,RP_050725_02_G01,22108,Vill,villin-like,22351,9,coronal,n/a,1.155,250.167,295.295,179,244
322964,RP_040609_01_F09,48039,Skiv2l2,superkiller viralicidic activity 2-like 2 (S. cerevisiae),72198,13,coronal,n/a,1.154,592.743,353.538,186,128
70436740,RP_050310_02_G08,20512,Spp1,secreted phosphoprotein 1,20750,5,coronal,n/a,1.152,219.653,261.686,188,258
77340464,RP_070116_02_C07,14903,Hbb,hemoglobin beta chain complex,15127,7,coronal,n/a,1.149,306.295,329.791,181,224
350,RP_Baylor_102731,13172,Dlx3,distal-less homeobox 3,13393,11,coronal,n/a,1.148,2245.640,2699.090,187,258
71247618,RP_050331_03_B07,14582,Grik2,"glutamate receptor, ionotropic, kainate 2 (beta 2)",14806,10,coronal,n/a,1.146,971.816,1350.389,162,258
2645,RP_Baylor_253979,20669,Stx1a,syntaxin 1A (brain),20907,5,coronal,n/a,1.146,3487.378,4177.286,188,258
